Title,Video URL,Tags
problemas  - weed sex TV (ft. nesta & sisters of the valley),https://youtube.com/embed/2MXsCIuaoF0?si=cwxxnP0QEQWZYWuI,"swag, Urban, YouTube"
Tommy Wright III - On Da Creep,https://youtube.com/embed/x7tenj5V-aE?si=eTywbFJRenWPdiJI,"hip hop, YouTube"
Crumb - Full Performance (Live on KEXP),https://youtube.com/embed/21CU-p2fiCs?si=UpScb7zPIi3-IsqD,"psychedelic, YouTube"
Strangers Have INCREDIBLE Voices on NYC Streets,https://youtube.com/embed/7esiUmkHB2Q?si=85auOSlCVpETq0So,"Music, NYC, Talent, YouTube"
Yamê - Bécane | A COLORS SHOW,https://youtube.com/embed/lukT_WB5IB0?si=Eripv3rNk3wOChSb,"Urban, YouTube"
Tommy Richman - MILLION DOLLAR BABY (Official Visualizer),https://youtube.com/embed/zG5YzRxOcsI?si=OAAUXSlr6s07b9Qr,"Urban, YouTube"
01 DJ Maars - Soundclash (Original) [Irish Moss Records],https://youtube.com/embed/zzUY_lQksBU?si=-khFnNS3idQEcRT_,"dancehall, hip hop, YouTube"
BRENT FAIYAZ - DEAD MAN WALKING [CHOPNOTSLOP REMIX],https://youtube.com/embed/qZZa2fIqouE?si=mZORHsqfSkHo984-,"swag, YouTube"
L'Entourloop - La Clarté Dans la Confusion,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1337197498&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true,"dancehall, soundcloud"
Wu-Tang Clan Vs. Beastie Boys,https://youtube.com/embed/uQ681eG8qfQ?si=xS6jPHDNW-7RScsC,"hip hop, mix, YouTube"
Pete & Bas - Gangster Sh**,https://youtube.com/embed/gQuAaHQrl8U?si=4rLsj3EvHvyAUQLR,"hip hop, rap"
Crumb - Locket [Official Video],https://youtube.com/embed/BqnG_Ei35JE?si=uW50z68FUZka6l1F,"psychedelic, rock"
