Title,Video URL,Tags
"""People Have No Idea What's About To Happen"" | Richard Wolff's Dire WARNING",https://youtube.com/embed/bDTLjaXa0Bc?si=hsyFsUEDWOyCGDPd,"Awareness, Economy, Future, YouTube"
The Bizarre World of Fake Martial Arts,https://youtube.com/embed/gjbSCEhmjJA?si=T2iJMNunWC3V7vrB,"Entertainment, Fraud, MartialArts, Psychology, Skepticism, YouTube"
Morrowind in 2025,https://youtube.com/embed/9Hv-46CCd9I?si=Z3f-wAz97KQszjPg,"game, Graphics, Modding, Morrowind, Remaster, RPG, YouTube"
The Dark Truth about US Copper Mining: 5CAST w/ Andrew Callaghan (#8) ft...,https://youtube.com/embed/WCpgv4OOJCs?si=OG_OtLmMNYbFcyMV,"activism, copper, mining, Video Essay, YouTube"
Jaydaddy: The Best of Horror,https://youtube.com/embed/5VJbCy9rlno?si=BysQaGoHtWK2i9Bs,"Comedy, Horror, parody, YouTube"
I installed Linux (so should you),https://youtube.com/embed/pVI_smLgTY0?si=zSr_dZrt4SaYc3dm,"Customization, game, Gaming, Linux, YouTube"
How One Company Secretly Poisoned The Planet,https://youtube.com/embed/SC2eSujzrUY?si=zSxCLdVTDcu2xHnc,"environment., PFAS, pollution, YouTube"
The WORLD'S LARGEST Abandoned Building - Sears Headquarters,https://youtube.com/embed/3yX9D3h2F_0?si=sbT-o-nojkOpfXCU,"abandoned, industry, Nostalgia, Video Essay, YouTube"
SlopTube & Weaponized Ignorance (How Careless Coverage Hurts),https://youtube.com/embed/jelZxG9smOE?si=8RHQXN0T74myOEU7,"accountability., media, misinformation, YouTube"
Western Europe Explained.,https://youtube.com/embed/lxgcBiGMGwA?si=sRZLF15kZcyEVPzL,"Culture., Europe, Travel, YouTube"
Unlearning Japanese - Real Real Japan #01,https://youtube.com/embed/BH9n_fNA7Z8?si=6N7C45gz1rP2yOxX,"culture, Humor, Language, YouTube"
I Spent 30 Days in a Dead Game,https://youtube.com/embed/QSMDb1CWD6Y?si=A35QcpFLp6MgXyNF,"game, Gaming, Humor, Nostalgia, YouTube"
"We Can’t Afford Groceries, Yet Billionare Wealth is Exploding",https://youtube.com/embed/unMXvnY2FNM?si=-1F2itcciGG61zyv,"Inequality, Inflation, Wealth, YouTube"
CHINA VS THE USA,https://youtube.com/embed/wYxaZln-NmY?si=HD7MS40BGKg9xpzs,"Geopolitics, Rivalry, Superpowers, Video Essay, YouTube"
When Disrespectful Celebrities Get Destroyed By Bill Burr,https://youtube.com/embed/e9hkOxV_hfg?si=pfkbyQeMP6yIFYhq,"BillBurr, Comedy, culture, Roasts, YouTube"
The Nazi Dismantling Of Constitutional Law In Germany,https://youtube.com/embed/sQpd9m4GBjs?si=1NqijOm8CuUVZKlp,"documentary, humanity, Video Essay, YouTube"
The Best Doom 3 Mod I've Ever Played: Phobos,https://youtube.com/embed/tGRzEzcANM0?si=1x0xWHoI02E7Nw07,"doom, game, YouTube"
"African Electrics, ALMOST what you'd expect",https://youtube.com/embed/Y-VaKTC8P1s?si=TRK4ZnDcHHznWtkL,"commentary, industry, Video Essay, YouTube"
